title;description;url;image
Todo App;A distraction-free web app to help you focus on creating and completing tasks.;https://github.com/IvanSavchyn194/Todo_WebApp.git;1.png
Portfolio Website;A website built entirely in Python to showcase coding projects and apps.;https://github.com/IvanSavchyn194/Portfolio_WebApp.git;2.png
PDF Templates;A script that generates PDF templates of multiple pages given some predefined guidelines.;https://github.com/IvanSavchyn194/PDF_Templates.git;3.png
PDF Invoices;A script that reads invoice records from Excel files and automatically generates PDF invoices.;https://github.com/IvanSavchyn194/PDF_Invoices.git;4.png
Positive News Site;A script that gets data from a news API and uses sentiment analysis to send only positive news.;https://github.com/IvanSavchyn194/Positive_News_API_Email.git;5.png
Weather API;A REST API built with Python and Flask to serve historical weather data for various cities.;https://github.com/IvanSavchyn194/Weather_API.git;6.png
Tour Scraper;A program that checks a music band's website and sends an email when there are new tours.;https://github.com/IvanSavchyn194/Tour_Scraper.git;8.png
OpenAI API Chatbot;A chatbot built that can discuss anything with a human and is built using the OpenAI API.;https://github.com/IvanSavchyn194/OpenAI_API_Chatbot.git;10.png
Webcam Motion Detector;A program that monitors the computer webcam and sends an email when a new object enters the view.;https://github.com/IvanSavchyn194/Webcam_Motion_Detector.git;11.png
Visualizing Weather Forecast;A data web app that visualizes the weather forecast for the next five days of any city.;https://github.com/IvanSavchyn194/Visualizing_Weather_Forecast.git;16.png
Student Management System;A desktop PyQt6 GUI app for managing university student data with an SQL database backend.;https://github.com/IvanSavchyn194/Student_Management_System_sqlite3.git;17.png
School Management System;A desktop PyQt6 GUI app for managing complex university data with an SQL database backend.;https://github.com/IvanSavchyn194/School_Management_System_mysql.git;18.png
Restaurant Menu Web App;A Django web app to let customers see a restaurant menu and meal availability.;https://github.com/IvanSavchyn194/Restaurant_Menu_Web_App.git;19.png
